timestamp,heart_rate,power,cadence,speed,altitude,distance,temperature,target_power,target_cadence,interval_type,interval_index,power_target_type
,93,52,1,,88.20000000000005,,,,,,,
,95,52,1,,88.20000000000005,,,,,,,
,99,52,21,,88.39999999999998,,,,,,,
,100,97,2,,88.39999999999998,,,,,,,
,103,97,2,,88.39999999999998,,,,,,,
,106,97,2,,88.39999999999998,,,,,,,
,106,136,2,,88.39999999999998,,,,,,,
,109,136,2,,88.60000000000002,,,,,,,
,109,175,5,,88.60000000000002,,,,,,,
,110,175,5,,88.79999999999995,,,,,,,
,111,175,5,,88.79999999999995,,,,,,,
,111,195,5,,89.0,,,,,,,
,112,195,5,,89.0,,,,,,,
,112,192,8,,89.20000000000005,,,,,,,
,113,181,8,,89.20000000000005,,,,,,,
,113,181,8,,89.39999999999998,,,,,,,
,113,167,12,,89.39999999999998,,,,,,,
,113,155,12,,89.60000000000002,,,,,,,
,114,146,18,,89.79999999999995,,,,,,,
,114,135,37,,89.79999999999995,,,,,,,
,113,119,25,,90.0,,,,,,,
,112,115,37,,90.20000000000005,,,,,,,
,111,113,39,,90.20000000000005,,,,,,,
,110,112,36,,90.39999999999998,,,,,,,
,109,113,40,,90.60000000000002,,,,,,,
,110,110,41,,90.60000000000002,,,,,,,
,110,113,39,,90.79999999999995,,,,,,,
,112,114,45,,91.0,,,,,,,
,113,116,46,,91.0,,,,,,,
,114,112,47,,91.20000000000005,,,,,,,
,114,105,44,,91.20000000000005,,,,,,,
,115,106,49,,91.39999999999998,,,,,,,
,115,109,50,,91.60000000000002,,,,,,,
,115,97,51,,91.60000000000002,,,,,,,
,115,95,52,,91.79999999999995,,,,,,,
,115,90,54,,91.79999999999995,,,,,,,
,113,89,53,,92.0,,,,,,,
,113,92,53,,92.0,,,,,,,
,113,91,53,,92.20000000000005,,,,,,,
,113,83,55,,92.20000000000005,,,,,,,
,113,82,52,,92.39999999999998,,,,,,,
,113,87,57,,92.39999999999998,,,,,,,
,113,85,56,,92.60000000000002,,,,,,,
,113,85,54,,92.60000000000002,,,,,,,
,112,85,56,,92.79999999999995,,,,,,,
,112,82,55,,92.79999999999995,,,,,,,
,111,81,55,,93.0,,,,,,,
,110,78,54,,93.0,,,,,,,
,109,72,54,,93.20000000000005,,,,,,,
,109,79,49,,93.20000000000005,,,,,,,
,108,89,45,,93.20000000000005,,,,,,,
,108,104,45,,93.39999999999998,,,,,,,
,109,123,42,,93.39999999999998,,,,,,,
,109,126,40,,93.60000000000002,,,,,,,
,109,128,43,,93.60000000000002,,,,,,,
,109,122,43,,93.79999999999995,,,,,,,
,110,115,45,,93.79999999999995,,,,,,,
,113,123,47,,94.0,,,,,,,
,114,129,49,,94.0,,,,,,,
,115,127,50,,94.20000000000005,,,,,,,
,116,117,52,,94.20000000000005,,,,,,,
,117,113,53,,94.39999999999998,,,,,,,
,117,110,55,,94.39999999999998,,,,,,,
,116,107,55,,94.60000000000002,,,,,,,
,116,102,56,,94.60000000000002,,,,,,,
,116,102,56,,94.79999999999995,,,,,,,
,114,99,57,,94.79999999999995,,,,,,,
,114,94,60,,95.0,,,,,,,
,115,86,58,,95.0,,,,,,,
,113,81,60,,95.20000000000005,,,,,,,
,111,84,60,,95.20000000000005,,,,,,,
,111,89,59,,95.39999999999998,,,,,,,
,109,93,59,,95.39999999999998,,,,,,,
,110,96,61,,95.60000000000002,,,,,,,
,111,93,61,,95.60000000000002,,,,,,,
,110,88,62,,95.79999999999995,,,,,,,
,109,87,61,,95.79999999999995,,,,,,,
,108,88,61,,96.0,,,,,,,
,107,89,63,,96.0,,,,,,,
,107,90,60,,96.20000000000005,,,,,,,
,106,89,62,,96.20000000000005,,,,,,,
,106,88,64,,96.39999999999998,,,,,,,
,106,89,60,,96.39999999999998,,,,,,,
,109,91,64,,96.39999999999998,,,,,,,
,109,96,61,,96.60000000000002,,,,,,,
,109,98,63,,96.60000000000002,,,,,,,
,110,95,62,,96.79999999999995,,,,,,,
,107,95,62,,96.79999999999995,,,,,,,
,107,96,67,,96.79999999999995,,,,,,,
,104,87,66,,97.0,,,,,,,
,102,90,61,,97.0,,,,,,,
,101,88,66,,97.20000000000005,,,,,,,
,101,85,64,,97.20000000000005,,,,,,,
,101,87,64,,97.20000000000005,,,,,,,
,103,95,64,,97.39999999999998,,,,,,,
,105,99,62,,97.39999999999998,,,,,,,
,107,97,64,,97.60000000000002,,,,,,,
,107,95,65,,97.60000000000002,,,,,,,
,107,93,65,,97.60000000000002,,,,,,,
,107,90,65,,97.79999999999995,,,,,,,
,98,88,65,,97.79999999999995,,,,,,,
,98,86,65,,97.79999999999995,,,,,,,
,98,87,65,,97.79999999999995,,,,,,,
,98,89,65,,98.0,,,,,,,
,99,89,65,,98.0,,,,,,,
,100,84,66,,98.0,,,,,,,
,102,89,66,,98.0,,,,,,,
,104,90,66,,98.0,,,,,,,
,105,90,66,,98.20000000000005,,,,,,,
,106,89,65,,98.20000000000005,,,,,,,
,104,82,65,,98.20000000000005,,,,,,,
,99,86,65,,98.20000000000005,,,,,,,
,99,94,65,,98.20000000000005,,,,,,,
,93,105,65,,98.20000000000005,,,,,,,
,93,111,65,,98.20000000000005,,,,,,,
,97,114,68,,98.20000000000005,,,,,,,
,102,105,68,,98.20000000000005,,,,,,,
