timestamp,heart_rate,power,cadence,speed,altitude,distance,temperature
2025-10-31T18:56:50,102,22,2,None,12.799999999999955,None,None
2025-10-31T18:56:51,102,22,2,None,12.799999999999955,None,None
2025-10-31T18:56:52,103,22,2,None,12.799999999999955,None,None
2025-10-31T18:56:53,103,58,2,None,12.799999999999955,None,None
2025-10-31T18:56:54,106,58,2,None,12.799999999999955,None,None
2025-10-31T18:56:55,107,99,5,None,12.799999999999955,None,None
2025-10-31T18:56:56,108,99,5,None,12.799999999999955,None,None
2025-10-31T18:56:57,111,152,5,None,12.799999999999955,None,None
2025-10-31T18:56:58,111,152,5,None,12.799999999999955,None,None
2025-10-31T18:56:59,113,182,8,None,12.799999999999955,None,None
2025-10-31T18:57:00,114,182,8,None,12.799999999999955,None,None
2025-10-31T18:57:01,115,191,8,None,12.799999999999955,None,None
2025-10-31T18:57:02,116,196,21,None,12.799999999999955,None,None
2025-10-31T18:57:03,116,196,14,None,12.799999999999955,None,None
2025-10-31T18:57:04,116,184,25,None,13.0,None,None
2025-10-31T18:57:05,116,171,18,None,13.0,None,None
2025-10-31T18:57:06,116,164,30,None,13.0,None,None
2025-10-31T18:57:07,115,155,22,None,13.0,None,None
2025-10-31T18:57:08,115,146,34,None,13.0,None,None
2025-10-31T18:57:09,115,126,27,None,13.0,None,None
2025-10-31T18:57:10,115,119,37,None,13.0,None,None
2025-10-31T18:57:11,115,114,41,None,13.0,None,None
2025-10-31T18:57:12,114,108,35,None,13.0,None,None
2025-10-31T18:57:13,114,103,43,None,13.0,None,None
2025-10-31T18:57:14,114,97,45,None,13.0,None,None
2025-10-31T18:57:15,114,94,46,None,13.0,None,None
2025-10-31T18:57:16,114,88,48,None,13.0,None,None
2025-10-31T18:57:17,113,85,45,None,13.0,None,None
2025-10-31T18:57:18,111,84,50,None,13.0,None,None
2025-10-31T18:57:19,111,86,52,None,13.0,None,None
2025-10-31T18:57:20,111,85,53,None,13.0,None,None
2025-10-31T18:57:21,111,81,54,None,13.0,None,None
2025-10-31T18:57:22,112,84,56,None,13.0,None,None
2025-10-31T18:57:23,113,93,56,None,13.0,None,None
2025-10-31T18:57:24,114,89,61,None,13.0,None,None
2025-10-31T18:57:25,114,76,57,None,13.0,None,None
2025-10-31T18:57:26,115,73,58,None,13.0,None,None
2025-10-31T18:57:27,116,69,59,None,13.0,None,None
2025-10-31T18:57:28,116,68,59,None,13.0,None,None
2025-10-31T18:57:29,115,71,59,None,13.0,None,None
2025-10-31T18:57:30,114,73,60,None,13.0,None,None
2025-10-31T18:57:31,114,74,60,None,13.0,None,None
2025-10-31T18:57:32,113,79,61,None,13.0,None,None
2025-10-31T18:57:33,114,76,62,None,13.0,None,None
2025-10-31T18:57:34,113,76,62,None,13.0,None,None
2025-10-31T18:57:35,112,80,63,None,13.0,None,None
2025-10-31T18:57:36,111,74,64,None,13.0,None,None
2025-10-31T18:57:37,111,66,64,None,13.0,None,None
2025-10-31T18:57:38,111,67,64,None,13.0,None,None
2025-10-31T18:57:39,112,76,64,None,13.0,None,None
2025-10-31T18:57:40,113,78,65,None,13.0,None,None
2025-10-31T18:57:41,113,78,65,None,13.0,None,None
2025-10-31T18:57:42,113,76,66,None,13.0,None,None
2025-10-31T18:57:43,110,79,66,None,13.0,None,None
2025-10-31T18:57:44,109,81,66,None,13.0,None,None
2025-10-31T18:57:45,108,85,67,None,13.0,None,None
2025-10-31T18:57:46,108,80,67,None,13.0,None,None
2025-10-31T18:57:47,108,73,68,None,13.0,None,None
2025-10-31T18:57:48,107,70,68,None,13.0,None,None
2025-10-31T18:57:49,108,75,69,None,13.0,None,None
2025-10-31T18:57:50,108,80,69,None,13.0,None,None
2025-10-31T18:57:51,108,83,68,None,13.0,None,None
2025-10-31T18:57:52,109,81,69,None,13.0,None,None
2025-10-31T18:57:53,108,78,72,None,13.0,None,None
2025-10-31T18:57:54,108,95,71,None,13.0,None,None
2025-10-31T18:57:55,107,95,72,None,13.0,None,None
2025-10-31T18:57:56,107,79,71,None,13.200000000000045,None,None
2025-10-31T18:57:57,108,80,71,None,13.200000000000045,None,None
2025-10-31T18:57:58,110,81,72,None,13.200000000000045,None,None
2025-10-31T18:57:59,112,77,70,None,13.200000000000045,None,None
2025-10-31T18:58:00,112,81,71,None,13.200000000000045,None,None
2025-10-31T18:58:01,110,85,73,None,13.200000000000045,None,None
2025-10-31T18:58:02,106,85,73,None,13.200000000000045,None,None
2025-10-31T18:58:03,104,84,73,None,13.200000000000045,None,None
2025-10-31T18:58:04,103,79,72,None,13.399999999999977,None,None
